run_id,case_type,seed,policy,status
oc_dep_s1_noverify,dependency_sensitive,1,no_verify,pending
oc_dep_s2_noverify,dependency_sensitive,2,no_verify,pending
oc_dep_s6_noverify,dependency_sensitive,6,no_verify,pending
oc_dep_s7_noverify,dependency_sensitive,7,no_verify,pending
oc_cor_s1_noverify,corruption_prone,1,no_verify,pending
oc_cor_s2_noverify,corruption_prone,2,no_verify,pending
oc_cor_s4_noverify,corruption_prone,4,no_verify,pending
oc_cor_s9_noverify,corruption_prone,9,no_verify,pending
oc_dep_s1_always,dependency_sensitive,1,always_verify,pending
oc_dep_s2_always,dependency_sensitive,2,always_verify,pending
oc_dep_s6_always,dependency_sensitive,6,always_verify,pending
oc_dep_s7_always,dependency_sensitive,7,always_verify,pending
oc_cor_s1_always,corruption_prone,1,always_verify,pending
oc_cor_s2_always,corruption_prone,2,always_verify,pending
oc_cor_s4_always,corruption_prone,4,always_verify,pending
oc_cor_s9_always,corruption_prone,9,always_verify,pending
oc_dep_s1_uncertainty,dependency_sensitive,1,uncertainty_only,pending
oc_dep_s2_uncertainty,dependency_sensitive,2,uncertainty_only,pending
oc_dep_s6_uncertainty,dependency_sensitive,6,uncertainty_only,pending
oc_dep_s7_uncertainty,dependency_sensitive,7,uncertainty_only,pending
oc_cor_s1_uncertainty,corruption_prone,1,uncertainty_only,pending
oc_cor_s2_uncertainty,corruption_prone,2,uncertainty_only,pending
oc_cor_s4_uncertainty,corruption_prone,4,uncertainty_only,pending
oc_cor_s9_uncertainty,corruption_prone,9,uncertainty_only,pending
oc_dep_s1_harm,dependency_sensitive,1,harm_aware_selective,pending
oc_dep_s2_harm,dependency_sensitive,2,harm_aware_selective,pending
oc_dep_s6_harm,dependency_sensitive,6,harm_aware_selective,pending
oc_dep_s7_harm,dependency_sensitive,7,harm_aware_selective,pending
oc_cor_s1_harm,corruption_prone,1,harm_aware_selective,pending
oc_cor_s2_harm,corruption_prone,2,harm_aware_selective,pending
oc_cor_s4_harm,corruption_prone,4,harm_aware_selective,pending
oc_cor_s9_harm,corruption_prone,9,harm_aware_selective,pending
